k,inertia,silhouette,calinski_harabasz,davies_bouldin,stability_ari,stability_ari_min,smallest_segment_n,smallest_segment_pct,inertia_gain_pct,elbow_distance,rank_silhouette,rank_calinski_harabasz,rank_davies_bouldin,mean_metric_rank
2,8443.179324006656,0.43991928327757174,6396.325210452761,0.8684833210864423,0.9954021064898686,0.9898001680154059,2346,39.91153453555631,,0.0,1.0,1.0,1.0,1.0
3,6204.156194966044,0.34872664519439167,5411.762068425304,1.0382104059202593,0.9969253577170892,0.991089637085875,1263,21.48690030622661,26.51872053308586,0.22819777324051216,3.0,2.0,7.0,4.0
4,4759.292327717226,0.36883215920687645,5296.7316256536615,0.9280378558921878,0.9985934126930571,0.9968809928316242,1223,20.80639673358285,23.288644286892037,0.3163410521628338,2.0,3.0,2.0,2.3333333333333335
5,3984.8758876407055,0.3380166745464974,5029.108707758641,0.9614209021040491,0.9622993783246682,0.9201448187288939,587,9.986389928547124,16.27167206280783,0.28624712112340134,4.0,4.0,4.0,4.0
6,3428.184053597136,0.3369991131001201,4866.54450523807,0.9522971687424934,0.9804858032666991,0.9634150735135237,560,9.52705001701259,13.970117256855541,0.21775621977127296,5.0,5.0,3.0,4.333333333333333
7,3066.547895230929,0.3025771981007606,4648.322128916315,0.9789515170517725,0.9441063584505696,0.8935885606113317,424,7.2133378700238175,10.548913147960892,0.11486614266786033,6.0,6.0,5.0,5.666666666666667
8,2772.820327975152,0.2998521929380522,4494.415135300834,0.9849108595089463,0.9874578786761314,0.9742510000410628,397,6.753997958489282,9.578443816663674,0.0,7.0,7.0,6.0,6.666666666666667
