seed,n_init,ari_gross_net,migrated_pct,ari_gross_vs_reference_gross,ari_net_vs_reference_net
0,100,0.5948738004474574,26.76080299421572,0.9660172025968041,0.9890686876754057
1,100,0.5805787016211919,28.428036747192927,0.9973777920738905,0.9977549796872043
2,100,0.5829622316093359,28.46206192582511,0.9787756013502271,0.9952989078574506
3,100,0.5880824639753268,28.18986049676761,0.9806899380012526,0.9903854010545711
4,100,0.5864862487715804,28.070772371554952,0.9986172024822878,0.9890686876754057
5,100,0.5814497665548183,28.37699897924464,0.9986884350990929,0.9977549796872043
6,100,0.5837857574750512,28.223885675399796,0.9995369953523529,0.994493304103334
7,100,0.5898563146319112,28.2068730860837,0.9737947370399723,0.993650167340792
8,100,0.5882240096952523,28.002722014290576,0.9964751517305992,0.9894276706142151
9,100,0.5819842387070194,28.581150051037767,0.978032703902964,0.9977549796872043
